id,name,address,city,phone,type
1,arnie morton's of chicago,435 s. la cienega boulevard,los angeles,310-246-1501,"[""american""]"
2,arnie morton's of chicago,435 s. la cienega boulevard,los angeles,310-246-1501,"[""steakhouses""]"
3,art's delicatessen,12224 ventura boulevard,los angeles,818-762-1221,"[""american""]"
4,art's deli,12224 ventura boulevard,los angeles,818-762-1221,"[""delis""]"
5,hotel bel-air,701 stone canyon road,los angeles,310-472-1211,"[""californian""]"
6,bel-air hotel,701 stone canyon road,los angeles,310-472-1211,"[""californian""]"
7,cafe bizou,14016 ventura boulevard,los angeles,818-788-3536,"[""french""]"
8,cafe bizou,14016 ventura boulevard,los angeles,818-788-3536,"[""french bistro""]"
9,campanile,624 s. la brea avenue,los angeles,213-938-1447,"[""american""]"
10,campanile,624 s. la brea avenue,los angeles,213-938-1447,"[""californian""]"
11,chinois on main,2709 main street,santa monica,310-392-9025,"[""french""]"
12,chinois on main,2709 main street,santa monica,310-392-9025,"[""pacific new wave""]"
13,citrus,6703 melrose avenue,los angeles,213-857-0034,"[""californian""]"
14,citrus,6703 melrose avenue,los angeles,213-857-0034,"[""californian""]"
15,fenix,8358 sunset boulevard west,los angeles,213-848-6677,"[""american""]"
16,fenix at the argyle,8358 sunset boulevard,west hollywood,213-848-6677,"[""french (new)""]"
17,granita,23725 w. malibu road,malibu,310-456-0488,"[""californian""]"
18,granita,23725 w. malibu road,malibu,310-456-0488,"[""californian""]"
19,grill on the alley,9560 dayton way,los angeles,310-276-0615,"[""american""]"
20,grill  the,9560 dayton way,beverly hills,310-276-0615,"[""american (traditional)""]"
21,restaurant katsu,1972 n. hillhurst avenue,los angeles,213-665-1891,"[""asian""]"
22,katsu,1972 hillhurst avenue,los angeles,213-665-1891,"[""japanese""]"
23,l'orangerie,903 n. la cienega boulevard,los angeles,310-652-9770,"[""french""]"
24,l'orangerie,903 n. la cienega boulevard,west hollywood,310-652-9770,"[""french (classic)""]"
25,le chardonnay,8284 melrose avenue,los angeles,213-655-8880,"[""french""]"
26,le chardonnay (los angeles),8284 melrose avenue,los angeles,213-655-8880,"[""french bistro""]"
27,locanda veneta,3rd street,los angeles,310-274-1893,"[""italian""]"
28,locanda veneta,8638 w. third street,los angeles,310-274-1893,"[""italian""]"
29,matsuhisa,129 n. la cienega boulevard,beverly hills,310-659-9639,"[""asian""]"
30,matsuhisa,129 n. la cienega boulevard,beverly hills,310-659-9639,"[""seafood""]"
31,the palm,9001 santa monica boulevard,los angeles,310-550-8811,"[""american""]"
32,palm  the (los angeles),9001 santa monica boulevard,west hollywood,310-550-8811,"[""steakhouses""]"
33,patina,5955 melrose avenue,los angeles,213-467-1108,"[""californian""]"
34,patina,5955 melrose avenue,los angeles,213-467-1108,"[""californian""]"
35,philippe's the original,1001 n. alameda street,los angeles,213-628-3781,"[""american""]"
36,philippe the original,1001 n. alameda street,los angeles,213-628-3781,"[""cafeterias""]"
37,pinot bistro,12969 ventura boulevard,los angeles,818-990-0500,"[""french""]"
38,pinot bistro,12969 ventura boulevard,los angeles,818-990-0500,"[""french bistro""]"
39,rex il ristorante,617 s. olive street,los angeles,213-627-2300,"[""italian""]"
40,rex il ristorante,617 s. olive street,los angeles,213-627-2300,"[""nuova cucina italian""]"
41,spago,1114 horn avenue,los angeles,310-652-4025,"[""californian""]"
42,spago (los angeles),8795 sunset boulevard,west hollywood,310-652-4025,"[""californian""]"
43,valentino,3115 pico boulevard,santa monica,310-829-4313,"[""italian""]"
44,valentino,3115 pico boulevard,santa monica,310-829-4313,"[""italian""]"
45,yujean kang's gourmet chinese cuisine,67 n. raymond avenue,los angeles,818-585-0855,"[""asian""]"
46,yujean kang's,67 n. raymond avenue,pasadena,818-585-0855,"[""chinese""]"
47,21 club,21 w. 52nd street,new york city,212-582-7200,"[""american""]"
48,21 club,21 w. 52nd street,new york city,212-582-7200,"[""american (new)""]"
49,aquavit,13 w. 54th street,new york city,212-307-7311,"[""continental""]"
50,aquavit,13 w. 54th street,new york city,212-307-7311,"[""scandinavian""]"
51,aureole,34 e. 61st street,new york city,212-319-1660,"[""american""]"
52,aureole,34 e. 61st street,new york city,212-319-1660,"[""american (new)""]"
53,cafe lalo,201 w. 83rd street,new york city,212-496-6031,"[""coffee bar""]"
54,cafe lalo,201 w. 83rd street,new york city,212-496-6031,"[""coffeehouses""]"
55,cafe des artistes,1 w. 67th street,new york city,212-877-3500,"[""continental""]"
56,cafe des artistes,1 w. 67th street,new york city,212-877-3500,"[""french (classic)""]"
57,carmine's,2450 broadway,new york city,212-362-2200,"[""italian""]"
58,carmine's,2450 broadway,new york city,212-362-2200,"[""italian""]"
59,carnegie deli,854 7th avenue,new york city,212-757-2245,"[""delicatessen""]"
60,carnegie deli,854 seventh avenue,new york city,212-757-2245,"[""delis""]"
61,chanterelle,2 harrison street,new york city,212-966-6960,"[""american""]"
62,chanterelle,2 harrison street,new york city,212-966-6960,"[""french (new)""]"
63,daniel,20 e. 76th street,new york city,212-288-0033,"[""french""]"
64,daniel,20 e. 76th street,new york city,212-288-0033,"[""french (new)""]"
65,dawat,210 e. 58th street,new york city,212-355-7555,"[""asian""]"
66,dawat,210 e. 58th street,new york city,212-355-7555,"[""indian""]"
67,felidia,243 e. 58th street,new york city,212-758-1479,"[""italian""]"
68,felidia,243 e. 58th street,new york city,212-758-1479,"[""italian""]"
69,four seasons grill room,99 e. 52nd street,new york city,212-754-9494,"[""american""]"
70,four seasons,99 e. 52nd street,new york city,212-754-9494,"[""american (new)""]"
71,gotham bar & grill,12 e. 12th street,new york city,212-620-4020,"[""american""]"
72,gotham bar & grill,12 e. 12th street,new york city,212-620-4020,"[""american (new)""]"
73,gramercy tavern,42 e. 20th street,new york city,212-477-0777,"[""american""]"
74,gramercy tavern,42 e. 20th street,new york city,212-477-0777,"[""american (new)""]"
