phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
1.0, 0.2, 0.1, 0.846, 1.000, 0.944, 0.902
1.0, 0.1, 0.0, 1.000, 0.955, 0.947, 0.964
0.1, 0.7, 0.0, 0.880, 1.000, 0.951, 0.866
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
0.0, 0.1, 1.0, 0.875, 0.955, 0.939, 0.830
0.1, 0.5, 0.1, 0.957, 1.000, 0.941, 0.848
0.1, 0.2, 0.0, 0.880, 1.000, 0.947, 0.955
0.1, 0.4, 0.5, 0.957, 1.000, 0.941, 0.857
1.0, 0.5, 0.0, 0.917, 1.000, 0.944, 0.902
1.0, 0.3, 0.0, 0.913, 0.955, 0.946, 0.946
0.1, 0.3, 0.3, 0.957, 1.000, 0.942, 0.875
0.2, 0.1, 0.0, 0.957, 1.000, 0.947, 0.964
1.0, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.3, 0.2, 0.4, 0.846, 1.000, 0.942, 0.875
1.0, 0.2, 0.2, 1.000, 1.000, 0.943, 0.884
0.3, 0.1, 0.4, 0.917, 1.000, 0.943, 0.884
0.0, 0.2, 0.4, 0.913, 0.955, 0.944, 0.911
0.2, 0.3, 0.2, 0.880, 1.000, 0.942, 0.875
1.0, 0.2, 0.4, 0.957, 1.000, 0.942, 0.875
0.0, 0.2, 0.1, 0.955, 0.955, 0.938, 0.938
1.0, 0.1, 0.0, 0.917, 1.000, 0.947, 0.964
1.0, 0.9, 0.0, 1.000, 0.909, 0.989, 0.830
0.3, 0.4, 0.0, 0.846, 1.000, 0.946, 0.938
1.0, 0.8, 0.2, 0.957, 1.000, 0.989, 0.795
1.0, 0.3, 0.8, 0.880, 1.000, 0.941, 0.857
0.0, 0.3, 0.2, 0.957, 1.000, 0.936, 0.911
0.0, 0.9, 0.0, 0.880, 1.000, 0.774, 0.857
1.0, 0.1, 0.1, 0.880, 1.000, 0.944, 0.911
0.1, 0.9, 0.6, 0.955, 0.955, 0.988, 0.750
1.0, 0.2, 0.1, 0.880, 1.000, 0.944, 0.902
1.0, 0.3, 0.1, 0.957, 1.000, 0.943, 0.893
1.0, 0.2, 0.1, 1.000, 1.000, 0.944, 0.902
1.0, 0.2, 0.0, 0.815, 1.000, 0.947, 0.955
0.0, 0.2, 0.1, 0.957, 1.000, 0.938, 0.938
1.0, 0.3, 0.0, 0.880, 1.000, 0.946, 0.946
0.0, 0.3, 0.1, 0.957, 1.000, 0.937, 0.929
1.0, 0.3, 0.0, 0.957, 1.000, 0.946, 0.946
1.0, 0.3, 0.7, 0.880, 1.000, 0.941, 0.857
0.2, 0.3, 0.7, 0.957, 1.000, 0.941, 0.857
0.0, 0.9, 0.2, 0.917, 1.000, 0.989, 0.795
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
0.0, 0.2, 0.1, 0.957, 1.000, 0.938, 0.938
0.0, 0.4, 0.0, 0.957, 1.000, 0.562, 0.973
0.0, 0.4, 0.1, 0.917, 1.000, 0.936, 0.920
1.0, 0.3, 0.1, 0.917, 1.000, 0.943, 0.893
0.0, 0.1, 1.0, 0.957, 1.000, 0.939, 0.830
1.0, 0.1, 0.0, 0.917, 1.000, 0.947, 0.964
0.0, 0.3, 0.8, 0.815, 1.000, 0.943, 0.893
0.2, 0.3, 0.0, 0.913, 0.955, 0.946, 0.946
1.0, 0.3, 0.0, 0.913, 0.955, 0.946, 0.946
0.1, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
1.0, 0.1, 0.0, 0.840, 0.955, 0.947, 0.964
0.0, 0.3, 0.5, 0.955, 0.955, 0.944, 0.902
0.2, 0.3, 0.0, 0.955, 0.955, 0.946, 0.946
1.0, 0.3, 0.4, 0.957, 1.000, 0.942, 0.866
1.0, 0.2, 0.0, 0.880, 1.000, 0.947, 0.955
0.2, 0.4, 0.7, 0.957, 1.000, 0.941, 0.848
0.2, 0.5, 0.0, 0.957, 1.000, 0.944, 0.902
0.0, 0.2, 0.9, 0.880, 1.000, 0.944, 0.902
1.0, 0.2, 0.0, 0.957, 1.000, 0.947, 0.955
0.2, 0.9, 0.0, 0.917, 1.000, 0.989, 0.830
1.0, 0.2, 0.0, 0.957, 1.000, 0.947, 0.955
1.0, 0.3, 0.0, 0.733, 1.000, 0.946, 0.946
1.0, 0.6, 0.0, 0.917, 1.000, 0.952, 0.884
0.2, 0.3, 0.4, 0.880, 1.000, 0.942, 0.866
0.1, 0.5, 0.0, 0.880, 1.000, 0.944, 0.902
1.0, 0.1, 0.0, 0.880, 1.000, 0.947, 0.964
1.0, 0.2, 0.0, 0.957, 1.000, 0.947, 0.955
0.1, 0.5, 0.0, 0.913, 0.955, 0.944, 0.902
0.0, 0.2, 0.7, 0.957, 1.000, 0.944, 0.902
1.0, 0.4, 0.1, 0.786, 1.000, 0.943, 0.884
1.0, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.0, 0.3, 0.1, 0.846, 1.000, 0.937, 0.929
