phone_threshold,name_threshold,address_threshold,training_data_precision,training_data_recall,test_data_precision,test_data_recall
0.0, 0.3, 0.4, 0.917, 1.000, 0.944, 0.902
0.3, 0.2, 0.0, 0.889, 0.970, 0.947, 0.955
0.1, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
1.0, 0.1, 0.5, 0.892, 1.000, 0.943, 0.884
1.0, 0.3, 0.0, 0.861, 0.939, 0.946, 0.946
1.0, 0.3, 0.0, 0.800, 0.970, 0.946, 0.946
0.0, 0.2, 0.1, 0.842, 0.970, 0.938, 0.938
0.1, 0.2, 0.0, 0.868, 1.000, 0.947, 0.955
1.0, 0.2, 0.0, 0.842, 0.970, 0.947, 0.955
1.0, 0.1, 0.0, 0.846, 1.000, 0.947, 0.964
1.0, 0.3, 0.0, 0.943, 1.000, 0.946, 0.946
0.1, 0.1, 0.0, 0.917, 1.000, 0.947, 0.964
1.0, 0.2, 0.0, 0.971, 1.000, 0.947, 0.955
1.0, 0.5, 0.0, 0.912, 0.939, 0.944, 0.902
1.0, 0.2, 0.0, 0.892, 1.000, 0.947, 0.955
0.1, 0.2, 0.0, 0.825, 1.000, 0.947, 0.955
1.0, 0.2, 0.0, 0.842, 0.970, 0.947, 0.955
0.1, 0.2, 0.0, 0.805, 1.000, 0.947, 0.955
0.0, 0.2, 0.4, 0.838, 0.939, 0.944, 0.911
1.0, 0.4, 0.0, 0.868, 1.000, 0.946, 0.938
0.0, 0.4, 0.4, 0.868, 1.000, 0.943, 0.893
1.0, 0.1, 0.0, 0.868, 1.000, 0.947, 0.964
1.0, 0.1, 0.1, 0.750, 1.000, 0.944, 0.911
1.0, 0.2, 0.0, 0.892, 1.000, 0.947, 0.955
1.0, 0.3, 0.0, 0.865, 0.970, 0.946, 0.946
0.1, 0.1, 0.0, 0.786, 1.000, 0.947, 0.964
0.1, 0.3, 0.1, 0.971, 1.000, 0.943, 0.893
1.0, 0.2, 0.0, 0.865, 0.970, 0.947, 0.955
0.1, 0.2, 0.0, 0.868, 1.000, 0.947, 0.955
0.0, 0.1, 0.4, 0.786, 1.000, 0.928, 0.920
1.0, 0.2, 0.0, 0.914, 0.970, 0.947, 0.955
0.1, 0.2, 0.0, 0.914, 0.970, 0.947, 0.955
0.1, 0.1, 0.7, 0.970, 0.970, 0.942, 0.875
1.0, 0.2, 0.0, 0.868, 1.000, 0.947, 0.955
0.1, 0.1, 0.0, 0.846, 1.000, 0.947, 0.964
0.1, 0.2, 0.1, 0.780, 0.970, 0.944, 0.902
1.0, 0.1, 0.0, 0.941, 0.970, 0.947, 0.964
1.0, 0.5, 0.0, 0.868, 1.000, 0.944, 0.902
0.2, 0.2, 0.0, 0.846, 1.000, 0.947, 0.955
0.1, 0.2, 0.1, 0.868, 1.000, 0.944, 0.902
1.0, 0.3, 0.0, 0.805, 1.000, 0.946, 0.946
1.0, 0.2, 0.0, 0.941, 0.970, 0.947, 0.955
0.0, 0.2, 0.3, 0.825, 1.000, 0.936, 0.920
0.0, 0.1, 0.4, 0.889, 0.970, 0.928, 0.920
0.1, 0.4, 0.0, 0.865, 0.970, 0.946, 0.938
0.1, 0.4, 0.0, 0.865, 0.970, 0.946, 0.938
0.0, 0.1, 0.2, 0.917, 1.000, 0.920, 0.929
1.0, 0.1, 0.0, 0.865, 0.970, 0.947, 0.964
1.0, 0.2, 0.0, 0.892, 1.000, 0.947, 0.955
1.0, 0.0, 0.1, 0.865, 0.970, 0.879, 0.911
0.2, 0.4, 0.0, 0.821, 0.970, 0.946, 0.938
0.1, 0.2, 0.1, 0.865, 0.970, 0.944, 0.902
0.0, 0.1, 0.1, 0.825, 1.000, 0.922, 0.946
1.0, 0.2, 0.0, 0.892, 1.000, 0.947, 0.955
0.0, 0.3, 0.5, 0.889, 0.970, 0.944, 0.902
0.1, 0.2, 0.0, 0.842, 0.970, 0.947, 0.955
0.1, 0.2, 0.0, 0.868, 1.000, 0.947, 0.955
0.1, 0.3, 0.0, 0.842, 0.970, 0.946, 0.946
1.0, 0.2, 0.0, 0.767, 1.000, 0.947, 0.955
0.2, 0.6, 0.1, 0.882, 0.909, 0.949, 0.830
0.0, 0.9, 0.8, 0.969, 0.939, 0.989, 0.777
0.0, 0.2, 0.5, 0.846, 1.000, 0.944, 0.911
1.0, 0.2, 0.1, 0.846, 1.000, 0.944, 0.902
