x,phone_threshold,phone_threshold_stdev,name_threshold,name_threshold_stdev,address_threshold,address_threshold_stdev,training_data_precision,training_data_precision_stdev,training_data_recall,training_data_recall_stdev,test_data_precision,test_data_precision_stdev,test_data_recall,test_data_recall_stdev
 10, 0.652, 0.433, 0.385, 0.230, 0.351, 0.355, 0.960, 0.055, 0.996, 0.020, 0.942, 0.061, 0.868, 0.073
 20, 0.579, 0.452, 0.300, 0.178, 0.169, 0.271, 0.909, 0.054, 0.987, 0.024, 0.942, 0.038, 0.911, 0.048
 30, 0.521, 0.462, 0.266, 0.182, 0.105, 0.213, 0.870, 0.052, 0.978, 0.026, 0.942, 0.027, 0.930, 0.037
 40, 0.507, 0.459, 0.232, 0.152, 0.070, 0.183, 0.837, 0.047, 0.973, 0.025, 0.943, 0.018, 0.942, 0.027
 50, 0.506, 0.456, 0.210, 0.160, 0.054, 0.157, 0.825, 0.041, 0.966, 0.025, 0.942, 0.016, 0.944, 0.030
 60, 0.579, 0.459, 0.190, 0.138, 0.048, 0.151, 0.817, 0.036, 0.966, 0.018, 0.945, 0.011, 0.949, 0.024
 70, 0.684, 0.437, 0.169, 0.128, 0.020, 0.089, 0.819, 0.030, 0.966, 0.016, 0.945, 0.010, 0.954, 0.020
 80, 0.705, 0.432, 0.168, 0.095, 0.023, 0.110, 0.836, 0.024, 0.963, 0.012, 0.946, 0.005, 0.955, 0.015
 90, 0.779, 0.393, 0.140, 0.069, 0.008, 0.061, 0.873, 0.016, 0.964, 0.010, 0.947, 0.004, 0.959, 0.010
100, 1.000, 0.000, 0.100, 0.000, 0.000, 0.000, 0.947, 0.000, 0.964, 0.000, 0.947, 0.000, 0.964, 0.000
