phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.1, 0.1, 0.455, 0.114, 0.922, 0.946
0.0, 0.0, 0.8, 0.100, 0.023, 0.338, 0.911
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.3, 0.0, 0.583, 0.159, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.1, 0.1, 0.727, 0.182, 0.922, 0.946
0.0, 0.0, 0.8, 0.400, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.200, 0.045, 0.338, 0.911
0.0, 0.1, 0.1, 0.455, 0.114, 0.922, 0.946
0.0, 0.0, 0.8, 0.700, 0.159, 0.338, 0.911
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.3, 0.0, 0.250, 0.068, 0.502, 0.982
0.0, 0.1, 0.1, 0.364, 0.091, 0.922, 0.946
0.0, 0.1, 0.1, 0.818, 0.205, 0.922, 0.946
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.3, 0.0, 0.500, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.500, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.333, 0.091, 0.502, 0.982
0.0, 0.1, 0.1, 0.636, 0.159, 0.922, 0.946
0.0, 0.1, 0.1, 0.364, 0.091, 0.922, 0.946
0.0, 0.1, 0.1, 0.455, 0.114, 0.922, 0.946
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.0, 0.8, 0.500, 0.114, 0.338, 0.911
0.0, 0.0, 0.8, 0.800, 0.182, 0.338, 0.911
0.0, 0.0, 0.8, 0.500, 0.114, 0.338, 0.911
0.0, 0.3, 0.0, 0.500, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.0, 0.8, 0.400, 0.091, 0.338, 0.911
0.0, 0.1, 0.1, 0.455, 0.114, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.1, 0.1, 0.545, 0.136, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.1, 0.1, 0.273, 0.068, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.114, 0.338, 0.911
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.3, 0.0, 0.333, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.1, 0.1, 0.545, 0.136, 0.922, 0.946
0.0, 0.0, 0.8, 0.200, 0.045, 0.338, 0.911
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.0, 0.8, 0.200, 0.045, 0.338, 0.911
0.0, 0.0, 0.8, 0.600, 0.136, 0.338, 0.911
0.0, 0.1, 0.1, 0.636, 0.159, 0.922, 0.946
0.0, 0.0, 0.8, 0.500, 0.114, 0.338, 0.911
0.0, 0.1, 0.1, 0.182, 0.045, 0.922, 0.946
0.0, 0.3, 0.0, 0.333, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.0, 0.8, 0.300, 0.068, 0.338, 0.911
0.0, 0.1, 0.1, 0.455, 0.114, 0.922, 0.946
0.0, 0.1, 0.1, 0.545, 0.136, 0.922, 0.946
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
0.0, 0.3, 0.0, 0.417, 0.114, 0.502, 0.982
